CustomerID,Occupation,Monthly Income (MYR),Account Balance (MYR),Credit Score,Total Loan Applied (MYR),Loan Duration (Years),Loan Purpose Text,Topic,Risk Category
CUST0026,Engineer,8268,21980,646,157092,29,money needed for mom's heart operation badly,Medical Expenses,Low
CUST0027,Clerk,2507,4048,721,57661,18,need capital to renovating the shop floor,Business Expansion,High
CUST0028,Sales Executive,3058,7703,698,36696,3,applying for cash to kids school uniform,Education,High
CUST0029,Self-Employed,5160,4417,644,103200,7,gotta exam registration fees,Education,Low
CUST0030,Freelancer,4490,8142,508,49390,4,need capital to remodeling the basement,Home Improvement,Low
CUST0031,Manager,13804,9718,691,82824,22,urgent need for root canal treatment,Medical Expenses,Low
CUST0032,Student,2324,3030,507,18592,8,prescription drugs cost soon,Medical Expenses,High
CUST0033,Sales Executive,7393,5217,676,96109,15,gotta upgrade server capacity,Business Expansion,Low
CUST0034,Clerk,2907,5992,502,23256,2,loan to cover paying semester fees,Education,High
CUST0035,Clerk,3897,5896,591,70146,16,buying furniture for new flat before month end,Home Improvement,Low
CUST0036,Sales Executive,6285,11894,622,31425,13,funds required to getting a motorbike for work for my family,Vehicle Purchase,Low
CUST0037,Freelancer,4836,0,743,106392,22,i need to installing solar panels,Home Improvement,Low
CUST0038,Teacher,4277,3810,850,98371,24,borrowing to building a garage extension,Home Improvement,Low
CUST0039,Self-Employed,4936,11677,678,103656,6,i need to franchise fee payment,Business Expansion,Low
CUST0040,Retired,1828,3069,625,12796,22,storm damage fix please approve,Emergency Expenses,Low
CUST0041,Manager,9964,24608,612,229172,20,borrowing to new tiles for bathroom,Home Improvement,Low
CUST0042,Clerk,2858,2664,563,42870,30,gotta hiring more staff members soon,Business Expansion,High
CUST0043,Sales Executive,5573,8677,730,139325,10,planning to kids school uniform,Education,Low
CUST0044,Self-Employed,5188,13554,656,119324,4,gotta phd research grant gap,Education,Low
CUST0045,Retired,2373,2548,648,37968,29,im looking to hiring more staff members immediately,Business Expansion,Low
CUST0046,Sales Executive,6027,7911,733,132594,23,applying for cash to fixing the garden fence,Home Improvement,Low
CUST0047,Retired,1532,1528,561,12256,29,gotta adding a swimming pool,Home Improvement,High
CUST0048,Engineer,5945,14944,565,53505,9,short on cash for website development cost,Business Expansion,Low
CUST0049,Sales Executive,5808,10606,758,75504,17,financing for motorcycle for daily commute,Vehicle Purchase,Low
CUST0050,Engineer,11931,30750,685,155103,2,exam registration fees next week,Education,Low
CUST0051,Self-Employed,6143,6719,602,116717,18,im looking to buying a cheap hatchback without delay,Vehicle Purchase,Low
CUST0052,Retired,1539,4571,774,13851,18,help me to getting a minivan for family,Vehicle Purchase,High
CUST0053,Self-Employed,13543,9450,622,81258,10,short on cash for landscaping the backyard,Home Improvement,Low
CUST0054,Student,2232,3683,708,17856,12,buying furniture for new flat for my family,Home Improvement,High
CUST0055,Teacher,4469,13150,485,44690,29,short on cash for sudden funeral costs,Emergency Expenses,Low
CUST0056,Student,1867,2687,578,33606,26,short on cash for marketing campaign ads,Business Expansion,High
CUST0057,Engineer,6304,10017,612,37824,28,need capital to last minute flight ticket urgent please,Emergency Expenses,Low
CUST0058,Sales Executive,4634,8623,568,64876,27,urgent need for textbooks for the term,Education,Low
CUST0059,Sales Executive,3193,3409,581,41509,28,funds required to buying a second hand sedan,Vehicle Purchase,High
CUST0060,Engineer,7876,7802,587,173272,11,gotta buying furniture for new flat,Home Improvement,Low
CUST0061,Clerk,3796,7565,640,49348,2,money needed for replacing stolen car,Vehicle Purchase,Low
CUST0062,Manager,13663,19219,581,327912,17,money needed for buying laptop for studies,Education,Low
CUST0063,Manager,17446,27715,672,314028,1,applying for cash to textbooks for the term,Education,Low
CUST0064,Self-Employed,11066,28434,700,165990,20,financing for replace broken fridge asap to move forward,Emergency Expenses,Low
CUST0065,Clerk,3474,7886,594,62532,11,financing for flood damage clean up,Emergency Expenses,Low
CUST0066,Engineer,9541,19867,709,162197,22,funds required to buying hearing aids to move forward,Medical Expenses,Low
CUST0067,Engineer,8326,12307,649,116564,7,financing for buying a cheap hatchback,Vehicle Purchase,Low
CUST0068,Self-Employed,11618,4402,692,243978,16,gotta paying for mri scan asap,Medical Expenses,Low
CUST0069,Clerk,2581,961,639,38715,3,financing for buying furniture for new flat,Home Improvement,Low
CUST0070,Engineer,6840,11335,607,41040,8,funds required to fix the leaking roof,Home Improvement,Low
CUST0071,Clerk,2932,1557,707,32252,23,planning to licensing fees for shop,Business Expansion,High
CUST0072,Freelancer,5773,8914,766,28865,29,just want to getting a minivan for family,Vehicle Purchase,Low
CUST0073,Manager,11585,27854,829,243285,15,im looking to getting a minivan for family,Vehicle Purchase,Low
CUST0074,Retired,2520,4670,629,22680,26,im looking to certification exam fee,Education,High
CUST0075,Retired,3789,0,539,71991,20,help me to buying a second hand sedan,Vehicle Purchase,Low
CUST0076,Retired,3326,8495,570,66520,15,settle lawsuit settlement asap,Emergency Expenses,Low
CUST0077,Sales Executive,5271,8414,553,131775,8,sudden funeral costs,Emergency Expenses,Low
CUST0078,Freelancer,3134,4284,593,47010,11,gotta buying a food truck to move forward,Business Expansion,High
CUST0079,Teacher,4117,6770,772,45287,3,im looking to textbooks for the term,Education,Low
CUST0080,Manager,13421,9396,628,147631,27,applying for cash to starting a coffee stall,Business Expansion,Low
CUST0081,Manager,17569,28986,644,404087,13,im looking to buying hearing aids to move forward,Medical Expenses,Low
CUST0082,Student,2220,2798,725,39960,18,financing for buying laptop for studies next week,Education,High
CUST0083,Freelancer,4297,5876,741,73049,11,loan to cover installing smart locks before month end,Home Improvement,Low
CUST0084,Teacher,6942,7571,658,166608,18,just want to renovate the kitchen cabinets,Home Improvement,Low
CUST0085,Manager,17697,23494,642,442425,14,short on cash for paying off student arrears before month end,Education,Low
CUST0086,Freelancer,3988,8942,674,43868,15,planning to landscaping the backyard,Home Improvement,Low
CUST0087,Self-Employed,10211,11770,843,183798,9,pay rent arrears or eviction,Emergency Expenses,Low
CUST0088,Freelancer,2658,3982,623,42528,8,buying hearing aids without delay,Medical Expenses,Low
CUST0089,Student,1563,3136,633,7815,20,installing smart locks asap,Home Improvement,Low
CUST0090,Sales Executive,4034,4482,656,44374,15,family crisis need cash,Emergency Expenses,Low
CUST0091,Self-Employed,6749,0,522,53992,25,urgent need for installing smart locks,Home Improvement,Low
CUST0092,Engineer,5885,0,562,135355,22,financing for getting a motorbike for work,Vehicle Purchase,Low
CUST0093,Manager,19714,36308,751,492850,8,help me to paying for mri scan,Medical Expenses,Low
CUST0094,Engineer,11965,10994,517,275195,26,mba program cost please approve,Education,Low
CUST0095,Self-Employed,12728,10269,683,267288,21,exam registration fees,Education,Low
CUST0096,Student,2360,3931,616,37760,21,borrowing to loan for immediate survival next week,Emergency Expenses,High
CUST0097,Teacher,5283,10222,736,132075,9,loan to cover final year project cost if possible,Education,Low
CUST0098,Freelancer,6068,12081,554,91020,28,urgent need for remodeling the basement asap,Home Improvement,Low
CUST0099,Clerk,2571,4988,609,48849,19,loan to cover family crisis need cash,Emergency Expenses,Low
CUST0100,Self-Employed,4470,3536,652,89400,7,funds required to marketing campaign ads,Business Expansion,Low
CUST0101,Engineer,7788,10127,755,101244,18,money needed for paying for knee surgery without delay,Medical Expenses,Low
CUST0102,Retired,2282,5924,715,45640,18,buying a classic mustang to move forward,Vehicle Purchase,Low
CUST0103,Freelancer,7791,10072,565,38955,3,applying for cash to financing a tesla next week,Vehicle Purchase,Low
CUST0104,Sales Executive,6312,7923,586,145176,12,flood damage clean up soon,Emergency Expenses,Low
CUST0105,Retired,3674,0,850,80828,11,starting a coffee stall thanks,Business Expansion,Low
CUST0106,Freelancer,4719,6126,704,51909,11,borrowing to installing solar panels,Home Improvement,Low
CUST0107,Retired,2258,4449,772,29354,24,planning to buying laptop for studies,Education,High
CUST0108,Clerk,3705,6289,703,37050,10,dental braces for son,Medical Expenses,Low
CUST0109,Retired,2018,2362,850,44396,10,building a garage extension right now,Home Improvement,High
CUST0110,Freelancer,3340,7442,575,66800,16,urgent need for paying ambulance fee,Medical Expenses,High
CUST0111,Self-Employed,7020,14714,636,140400,4,urgent need for buying a classic mustang urgent please,Vehicle Purchase,Low
CUST0112,Manager,16056,40257,700,96336,5,pay off urgent debt if possible,Emergency Expenses,Low
CUST0113,Engineer,5697,10832,648,102546,20,loan to cover pay bail money to move forward,Emergency Expenses,Low
CUST0114,Retired,3058,2068,676,70334,14,kids school uniform,Education,High
CUST0115,Student,2748,5095,640,30228,21,masters degree funding next week,Education,Low
CUST0116,Engineer,10410,20997,678,229020,3,gotta maternity ward costs,Medical Expenses,Low
CUST0117,Student,2336,1115,682,32704,2,borrowing to hiring more staff members,Business Expansion,Low
CUST0118,Engineer,10791,12694,805,75537,22,financing for piano lessons for daughter thanks,Education,Low
CUST0119,Engineer,11453,20314,546,125983,14,money needed for upgrade server capacity immediately,Business Expansion,Low
CUST0120,Retired,2420,1091,510,21780,3,urgent need for repairing cracked walls,Home Improvement,High
CUST0121,Teacher,6746,6941,774,155158,30,gotta motorcycle for daily commute badly,Vehicle Purchase,Low
CUST0122,Freelancer,3518,2926,663,59806,9,im looking to scooter for delivery job for my family,Vehicle Purchase,High
CUST0123,Freelancer,3158,409,553,47370,20,upgrade server capacity quickly,Business Expansion,High
CUST0124,Student,1687,2797,768,38801,19,money needed for paying ambulance fee,Medical Expenses,High
CUST0125,Engineer,9720,27230,683,194400,17,just want to kids school uniform please approve,Education,Low
CUST0126,Engineer,6486,15280,648,129720,3,funds required to repairing cracked walls,Home Improvement,Low
CUST0127,Self-Employed,10690,9668,753,106900,11,language course abroad quickly,Education,Low
CUST0128,Freelancer,4861,5237,580,106942,2,hiring more staff members,Business Expansion,Low
CUST0129,Clerk,2644,3950,689,44948,28,help me to adding a swimming pool,Home Improvement,High
CUST0130,Retired,3392,3592,676,54272,20,gotta kids school uniform,Education,High
CUST0131,Freelancer,8725,18302,670,78525,30,short on cash for kidney stone removal,Medical Expenses,Low
CUST0132,Freelancer,8220,10745,651,205500,20,gotta family crisis need cash,Emergency Expenses,Low
CUST0133,Teacher,4772,2563,618,33404,8,money needed for phd research grant gap,Education,Low
CUST0134,Freelancer,3462,4233,612,48468,17,borrowing to pay bail money,Emergency Expenses,High
CUST0135,Manager,15905,33295,642,349910,5,money needed for piano lessons for daughter soon,Education,Low
CUST0136,Sales Executive,7910,0,641,55370,9,loan to cover pay off urgent debt,Emergency Expenses,Low
CUST0137,Self-Employed,12318,18400,655,172452,27,paying ambulance fee to move forward,Medical Expenses,Low
CUST0138,Teacher,5329,4185,632,117238,25,renovate the kitchen cabinets before month end,Home Improvement,Low
CUST0139,Freelancer,5136,15589,485,61632,19,borrowing to textbooks for the term,Education,Low
CUST0140,Sales Executive,6365,17647,685,108205,13,funds required to buying a boat trailer,Vehicle Purchase,Low
CUST0141,Freelancer,2803,8284,797,42045,28,just want to kids school uniform asap,Education,Low
CUST0142,Freelancer,3316,2081,635,29844,14,urgent need for pay off urgent debt badly,Emergency Expenses,Low
CUST0143,Clerk,2961,4807,588,71064,23,i need to new tiles for bathroom to move forward,Home Improvement,Low
CUST0144,Clerk,3744,3490,755,82368,13,help me to new tiles for bathroom,Home Improvement,Low
CUST0145,Freelancer,6932,12432,656,173300,22,buying a cheap hatchback without delay,Vehicle Purchase,Low
CUST0146,Sales Executive,3740,4363,664,93500,23,borrowing to fix the leaking roof,Home Improvement,Low
CUST0147,Freelancer,3862,3490,487,23172,11,help me to marketing campaign ads,Business Expansion,High
CUST0148,Engineer,7936,9388,681,166656,14,health checkup package urgent please,Medical Expenses,Low
CUST0149,Teacher,4217,12327,727,101208,22,just want to unexpected tax bill,Emergency Expenses,Low
CUST0150,Freelancer,7277,14943,719,94601,15,planning to paying semester fees,Education,Low
CUST0151,Student,2452,6078,579,24520,3,health checkup package soon,Medical Expenses,High
CUST0152,Self-Employed,13626,11964,844,177138,15,i need to capital for startup,Business Expansion,Low
CUST0153,Sales Executive,6151,10639,619,104567,19,help me to flood damage clean up,Emergency Expenses,Low
CUST0154,Engineer,10728,9445,850,182376,9,short on cash for renovating the shop floor,Business Expansion,Low
CUST0155,Student,2741,3985,498,38374,25,building a garage extension if possible,Home Improvement,High
CUST0156,Self-Employed,7588,5855,565,68292,21,just want to replace broken fridge asap to move forward,Emergency Expenses,Low
CUST0157,Student,2132,3304,629,34112,24,loan to cover hiring more staff members urgent please,Business Expansion,Low
CUST0158,Clerk,3862,4359,777,38620,7,paying semester fees immediately,Education,Low
CUST0159,Retired,2998,0,615,29980,9,financing for acquiring a food delivery bike,Vehicle Purchase,High
CUST0160,Engineer,11115,27694,544,211185,3,gotta kidney stone removal,Medical Expenses,Low
CUST0161,Sales Executive,6255,18234,620,100080,3,mom's heart operation immediately,Medical Expenses,Low
CUST0162,Student,2041,1310,629,26533,19,starting a coffee stall badly,Business Expansion,Low
CUST0163,Self-Employed,5775,6289,569,138600,29,money needed for remodeling the basement soon,Home Improvement,Low
CUST0164,Sales Executive,3517,3202,582,49238,21,financing for settle lawsuit settlement quickly,Emergency Expenses,High
CUST0165,Clerk,2286,3912,656,45720,4,i need to covering hospital stay bill,Medical Expenses,Low
CUST0166,Sales Executive,7403,15390,716,162866,14,financing a tesla,Vehicle Purchase,Low
CUST0167,Manager,18730,42211,704,337140,9,replace broken fridge asap to move forward,Emergency Expenses,Low
CUST0168,Self-Employed,7559,0,718,120944,4,money needed for painting the living room,Home Improvement,Low
CUST0169,Retired,2969,6225,673,23752,28,replacing my old clunker right now,Vehicle Purchase,High
CUST0170,Clerk,3357,5940,761,16785,2,opening a second branch,Business Expansion,High
CUST0171,Sales Executive,4031,6549,597,88682,7,just want to hiring more staff members,Business Expansion,Low
CUST0172,Sales Executive,5691,9760,510,136584,1,just want to prescription drugs cost,Medical Expenses,Low
CUST0173,Teacher,4032,457,614,32256,22,borrowing to pay rent arrears or eviction,Emergency Expenses,High
CUST0174,Teacher,3560,2183,759,81880,11,urgent need for getting a convertible,Vehicle Purchase,High
CUST0175,Teacher,4586,12591,692,96306,4,urgent plumbing disaster badly,Emergency Expenses,Low
CUST0176,Freelancer,6172,10295,555,49376,15,mom's heart operation quickly,Medical Expenses,Low
CUST0177,Student,2989,5478,492,62769,10,im looking to prescription drugs cost,Medical Expenses,High
CUST0178,Student,1624,4954,648,29232,22,money needed for buying new inventory stock,Business Expansion,High
CUST0179,Freelancer,8335,14699,633,58345,11,i need to hiring more staff members,Business Expansion,Low
CUST0180,Clerk,2258,2986,761,49676,23,help me to renovating the shop floor,Business Expansion,High
CUST0181,Manager,17787,11320,633,426888,14,funds required to wallet stolen need funds,Emergency Expenses,Low
CUST0182,Clerk,3746,2156,514,82412,24,i need to root canal treatment please approve,Medical Expenses,Low
CUST0183,Manager,15398,32808,596,292562,13,money needed for replacing my old clunker without delay,Vehicle Purchase,Low
CUST0184,Clerk,2640,1160,702,42240,5,need capital to acquiring a food delivery bike,Vehicle Purchase,High
CUST0185,Clerk,2186,3659,619,17488,24,buying hearing aids,Medical Expenses,High
CUST0186,Teacher,5778,19434,723,127116,11,financing for fix the leaking roof soon,Home Improvement,Low
CUST0187,Manager,13793,39096,514,248274,28,help me to family crisis need cash,Emergency Expenses,Low
CUST0188,Engineer,9918,13458,684,208278,7,wallet stolen need funds immediately,Emergency Expenses,Low
CUST0189,Freelancer,4337,8353,589,95414,12,applying for cash to buying a second hand sedan,Vehicle Purchase,Low
CUST0190,Engineer,9703,15781,733,213466,25,replace broken fridge asap quickly,Emergency Expenses,Low
CUST0191,Engineer,5237,10618,762,73318,30,urgent pet surgery thanks,Emergency Expenses,Low
CUST0192,Self-Employed,4100,6911,690,69700,3,maternity ward costs to move forward,Medical Expenses,Low
CUST0193,Student,1687,2507,594,30366,15,urgent need for physiotherapy sessions,Medical Expenses,High
CUST0194,Teacher,5015,6180,715,115345,20,money needed for maternity ward costs,Medical Expenses,Low
CUST0195,Student,1818,3835,742,12726,9,funds required to mba program cost,Education,High
CUST0196,Manager,15957,13610,598,175527,25,help me to mom's heart operation quickly,Medical Expenses,Low
CUST0197,Self-Employed,11043,26767,727,253989,16,urgent need for certification exam fee,Education,Low
CUST0198,Student,1951,1256,716,9755,7,funds required to capital for startup,Business Expansion,High
CUST0199,Sales Executive,4124,6428,584,32992,1,paying off student arrears,Education,Low
CUST0200,Manager,10878,23704,721,130536,17,applying for cash to pay bail money to move forward,Emergency Expenses,Low
CUST0201,Clerk,2813,4646,632,14065,15,upgrade server capacity without delay,Business Expansion,High
CUST0202,Self-Employed,13433,10271,685,335825,14,financing for phd research grant gap,Education,Low
CUST0203,Clerk,2829,6232,659,67896,15,gotta cash flow for payroll,Business Expansion,High
CUST0204,Clerk,2894,5308,600,66562,13,replacing stolen car urgent please,Vehicle Purchase,Low
CUST0205,Manager,13083,19429,593,130830,3,i need to laser eye treatment,Medical Expenses,Low
CUST0206,Retired,3588,7096,779,57408,24,franchise fee payment to move forward,Business Expansion,Low
CUST0207,Sales Executive,3842,6997,692,92208,5,gotta upgrading the air conditioning,Home Improvement,Low
CUST0208,Teacher,6665,5865,585,153295,25,laser eye treatment,Medical Expenses,Low
CUST0209,Self-Employed,14276,16450,728,285520,15,planning to flood damage clean up,Emergency Expenses,Low
CUST0210,Engineer,9844,23559,682,137816,15,borrowing to covering hospital stay bill,Medical Expenses,Low
CUST0211,Student,1616,1702,698,40400,28,gotta installing solar panels please approve,Home Improvement,High
CUST0212,Retired,3074,1569,673,18444,15,applying for cash to mom's heart operation,Medical Expenses,Low
CUST0213,Self-Employed,13912,14577,656,83472,15,money needed for upgrading the air conditioning,Home Improvement,Low
CUST0214,Self-Employed,5381,5422,648,64572,23,planning to buying furniture for new flat,Home Improvement,Low
CUST0215,Freelancer,6793,7026,643,108688,30,applying for cash to remodeling the basement thanks,Home Improvement,Low
CUST0216,Manager,14697,24759,530,88182,26,planning to buying a used pickup,Vehicle Purchase,Low
CUST0217,Clerk,2675,6684,717,37450,9,short on cash for opening a second branch,Business Expansion,Low
CUST0218,Self-Employed,5335,5956,628,85360,10,replace broken fridge asap before month end,Emergency Expenses,Low
CUST0219,Teacher,5937,8394,617,130614,13,i need to maternity ward costs,Medical Expenses,Low
CUST0220,Teacher,6244,5828,464,131124,3,buying hearing aids before month end,Medical Expenses,Low
CUST0221,Retired,2982,6510,657,32802,11,urgent need for settle lawsuit settlement,Emergency Expenses,High
CUST0222,Sales Executive,4855,9536,649,67970,28,financing for starting a coffee stall badly,Business Expansion,Low
CUST0223,Retired,3710,8702,507,22260,22,gotta buying hearing aids asap,Medical Expenses,Low
CUST0224,Teacher,5946,6896,683,142704,26,language course abroad right now,Education,Low
CUST0225,Freelancer,2857,1376,713,34284,15,just want to installing smart locks,Home Improvement,High
CUST0226,Freelancer,4416,3652,635,88320,29,repairing cracked walls,Home Improvement,Low
CUST0227,Self-Employed,13345,31842,641,186830,25,buying a classic mustang,Vehicle Purchase,Low
CUST0228,Retired,3660,3971,673,40260,26,short on cash for pay bail money quickly,Emergency Expenses,Low
CUST0229,Engineer,5427,2556,523,119394,30,funds required to unexpected tax bill,Emergency Expenses,Low
CUST0230,Retired,2010,2418,782,26130,15,gotta pay rent arrears or eviction,Emergency Expenses,High
CUST0231,Manager,9502,19337,631,180538,29,replacing my old clunker,Vehicle Purchase,Low
CUST0232,Student,2349,5619,681,28188,13,funds required to buying a food truck,Business Expansion,High
CUST0233,Self-Employed,7678,25492,682,191950,11,urgent need for final year project cost,Education,Low
CUST0234,Teacher,3656,4220,796,32904,25,i need to university dorm deposit,Education,Low
CUST0235,Freelancer,7540,13759,651,98020,7,help me to buying a classic mustang,Vehicle Purchase,Low
CUST0236,Retired,3993,4462,643,55902,8,i need to phd research grant gap next week,Education,Low
CUST0237,Clerk,2097,3319,763,50328,15,need capital to replacing old windows,Home Improvement,High
CUST0238,Clerk,3713,8882,589,18565,21,university dorm deposit badly,Education,Low
CUST0239,Teacher,4693,2357,697,56316,19,help me to health checkup package,Medical Expenses,Low
CUST0240,Teacher,6221,6352,565,99536,3,planning to buying a food truck please approve,Business Expansion,Low
CUST0241,Manager,15702,35516,671,251232,9,loan to cover acquiring a food delivery bike,Vehicle Purchase,Low
CUST0242,Self-Employed,5106,3934,757,127650,4,financing for buying a boat trailer,Vehicle Purchase,Low
CUST0243,Teacher,3681,3916,708,92025,6,planning to starting a coffee stall,Business Expansion,Low
CUST0244,Freelancer,7675,12876,689,145825,2,borrowing to motorcycle for daily commute,Vehicle Purchase,Low
CUST0245,Sales Executive,3358,6466,488,50370,30,buying laptop for studies right now,Education,Low
CUST0246,Retired,3131,7823,643,40703,2,financing for laser eye treatment,Medical Expenses,Low
CUST0247,Engineer,7924,13171,630,198100,11,short on cash for replacing my old clunker,Vehicle Purchase,Low
CUST0248,Clerk,3637,1330,773,69103,29,financing for flood damage clean up next week,Emergency Expenses,Low
CUST0249,Self-Employed,7060,3965,652,148260,9,short on cash for language course abroad asap,Education,Low
CUST0250,Manager,9293,0,760,92930,18,replacing old windows,Home Improvement,Low
CUST0251,Self-Employed,5680,14374,706,79520,15,just want to pay off urgent debt,Emergency Expenses,Low
CUST0252,Teacher,6325,4317,680,101200,20,i need to kids school uniform next week,Education,Low
CUST0253,Engineer,10238,35110,625,71666,22,gotta piano lessons for daughter,Education,Low
CUST0254,Self-Employed,12406,23333,535,62030,5,planning to hiring more staff members please approve,Business Expansion,Low
CUST0255,Student,1758,4864,706,28128,12,mom's heart operation next week,Medical Expenses,Low
CUST0256,Student,2739,5474,721,43824,12,i need to motorcycle for daily commute badly,Vehicle Purchase,High
CUST0257,Clerk,3175,6337,708,47625,21,website development cost if possible,Business Expansion,Low
CUST0258,Sales Executive,3929,7883,658,82509,13,language course abroad,Education,Low
CUST0259,Engineer,11348,16384,736,272352,10,building a garage extension badly,Home Improvement,Low
CUST0260,Sales Executive,4004,6832,673,40040,29,loan to cover urgent plumbing disaster,Emergency Expenses,Low
CUST0261,Clerk,3659,3141,509,54885,22,mom's heart operation before month end,Medical Expenses,Low
CUST0262,Clerk,3126,0,605,31260,23,gotta buying hearing aids,Medical Expenses,High
CUST0263,Self-Employed,12335,23115,850,111015,8,im looking to upgrading the air conditioning for my family,Home Improvement,Low
CUST0264,Student,2239,1737,624,49258,5,short on cash for paying for mri scan please approve,Medical Expenses,Low
CUST0265,Clerk,2633,1265,725,52660,17,short on cash for exam registration fees,Education,High
CUST0266,Manager,17419,59527,745,435475,3,help me to loan for immediate survival,Emergency Expenses,Low
CUST0267,Freelancer,8071,8742,645,177562,21,loan to cover upgrade server capacity soon,Business Expansion,Low
CUST0268,Teacher,5272,0,647,42176,17,money needed for buying laptop for studies soon,Education,Low
CUST0269,Engineer,6348,15755,809,76176,12,loan to cover physiotherapy sessions,Medical Expenses,Low
CUST0270,Clerk,2513,5435,838,32669,5,need capital to financing a tesla,Vehicle Purchase,Low
CUST0271,Retired,1882,1908,649,43286,5,scooter for delivery job immediately,Vehicle Purchase,Low
CUST0272,Self-Employed,13234,40286,690,92638,2,installing smart locks,Home Improvement,Low
CUST0273,Sales Executive,7686,3929,707,153720,29,urgent need for painting the living room thanks,Home Improvement,Low
CUST0274,Engineer,8956,13852,795,152252,10,borrowing to renovate the kitchen cabinets,Home Improvement,Low
CUST0275,Clerk,3410,7845,681,68200,15,purchasing raw materials bulk for my family,Business Expansion,Low
CUST0276,Self-Employed,13939,34644,774,209085,24,money needed for buying a cheap hatchback next week,Vehicle Purchase,Low
CUST0277,Manager,10142,15866,553,81136,11,financing for family crisis need cash,Emergency Expenses,Low
CUST0278,Freelancer,3503,5022,710,28024,2,applying for cash to replacing my old clunker,Vehicle Purchase,Low
CUST0279,Manager,18082,0,750,180820,27,im looking to buying furniture for new flat before month end,Home Improvement,Low
CUST0280,Self-Employed,7110,11215,556,149310,15,i need to prescription drugs cost,Medical Expenses,Low
CUST0281,Engineer,9074,30922,677,190554,15,i need to mba program cost asap,Education,Low
CUST0282,Sales Executive,7778,10459,670,155560,20,licensing fees for shop soon,Business Expansion,Low
CUST0283,Engineer,9396,17674,651,84564,29,kidney stone removal to move forward,Medical Expenses,Low
CUST0284,Self-Employed,10606,10194,710,243938,18,insulin pump cost badly,Medical Expenses,Low
CUST0285,Self-Employed,13064,17115,726,248216,25,help me to landscaping the backyard,Home Improvement,Low
CUST0286,Clerk,2263,5184,637,33945,18,need capital to fix the leaking roof right now,Home Improvement,High
CUST0287,Teacher,4315,3675,601,25890,2,need capital to getting a minivan for family,Vehicle Purchase,High
CUST0288,Teacher,6422,6731,728,122018,5,funds required to starting a coffee stall,Business Expansion,Low
CUST0289,Self-Employed,14044,16380,722,337056,24,gotta paying for mri scan,Medical Expenses,Low
CUST0290,Self-Employed,12311,24201,563,283153,10,applying for cash to acquiring a food delivery bike,Vehicle Purchase,Low
CUST0291,Student,2254,2956,683,40572,19,planning to last minute flight ticket without delay,Emergency Expenses,High
CUST0292,Student,2722,0,683,62606,19,just want to buying a used pickup,Vehicle Purchase,Low
CUST0293,Student,2695,1434,661,64680,25,urgent need for sudden funeral costs before month end,Emergency Expenses,Low
CUST0294,Teacher,6865,9710,631,54920,7,money needed for sudden funeral costs,Emergency Expenses,Low
CUST0295,Freelancer,5069,3951,690,55759,14,loan to cover unexpected tax bill,Emergency Expenses,Low
